Username,Team,Age_Range,Gender,Grade,Travel_Time,Special_Feature
15291,Oppugno,30-39,Male,A,60-89,
10702,Deprimo,40-49,Male,A,0-29,
24756,Deprimo,50-59,Female,A,120-149,
24169,Engorgio,50-59,Male,A,60-89,
16427,Imperio,40-49,Female,A,0-29,
23274,Locomotor,40-49,Male,A,30-59,
17513,Confringo,40-49,Male,A,30-59,
20592,Wingardium Leviosa,50-59,Male,A,90-119,
13944,Mobilicorpus,30-39,Female,A,60-89,
13492,Mobilicorpus,40-49,Male,A,60-89,
28465,Imperio,50-59,Male,A,60-89,
12343,Oppugno,40-49,Male,A,60-89,
20592,Wingardium Leviosa,50-59,Male,A,30-59,
28471,Sonorus,30-39,Male,A,120-149,
21907,Imperio,60>,Female,A,90-119,
23662,Wingardium Leviosa,50-59,Male,A,180+,
11735,Deprimo,40-49,Male,A,180+,
11254,Deprimo,30-39,Male,A,30-59,
10598,Deprimo,40-49,Male,B,150-179,
13283,Deprimo,40-49,Female,B,30-59,
18503,Fidelius Charm,30-39,Male,B,30-59,
50659,Piertotum Locomotor,40-49,NULL,B,150-179,
23606,Protego Totalum,50-59,Male,B,60-89,
18865,Oppugno,60>,Male,B,30-59,
28274,Reducto,50-59,Female,B,180+,
20876,Defodio,50-59,Male,B,90-119,
23089,Confringo,50-59,Male,B,30-59,
18836,Impedimenta,50-59,Female,B,180+,
24357,Locomotor Mortis,30-39,Female,B,120-149,
18687,Wingardium Leviosa,40-49,Male,B,120-149,
19922,Sonorus,50-59,Male,B,30-59,
24743,Aparecium,50-59,Female,B,120-149,
50588,Aparecium,60>,Female,B,30-59,
10274,Deprimo,50-59,Male,B,0-29,
21836,Deprimo,50-59,Male,B,30-59,
10618,Sonorus,60>,Male,B,180+,
12615,Sonorus,40-49,NULL,B,0-29,
13737,Sonorus,40-49,Female,B,30-59,
24602,Sonorus,50-59,Male,B,60-89,
13355,Sonorus,20-29,Female,B,60-89,
18931,Sonorus,40-49,NULL,B,0-29,
23706,Sonorus,50-59,Male,B,150-179,
23807,Sonorus,50-59,Female,B,120-149,
24497,Sonorus,50-59,Male,B,30-59,
26292,Sonorus,50-59,Female,B,120-149,
26941,Sonorus,60>,Male,B,0-29,
19184,Sonorus,50-59,Male,B,30-59,
21583,Meteolojinx Recanto,50-59,Male,B,30-59,Near Window
21697,Imperio,30-39,Male,B,0-29,
14372,Fidelius Charm,30-39,Female,B,120-149,
26071,Fidelius Charm,40-49,Male,B,150-179,
10219,Confringo,60>,Female,B,60-89,
18404,Confringo,60>,Female,B,90-119,
23850,Confringo,50-59,Male,B,120-149,
13336,Confringo,40-49,Male,B,60-89,
14072,Confringo,50-59,Female,B,60-89,
15410,Confringo,40-49,Male,B,60-89,
10007,Locomotor Mortis,60>,Male,B,150-179,
10588,Locomotor Mortis,50-59,Female,B,60-89,
12048,Locomotor Mortis,50-59,Female,B,120-149,
18061,Locomotor Mortis,20-29,Female,B,0-29,
12851,Duro,40-49,Female,B,60-89,
24540,Duro,50-59,Female,B,30-59,
12780,Mobilicorpus,40-49,Female,B,30-59,
27632,Mobilicorpus,40-49,Male,B,30-59,
21187,Sonorus,50-59,Male,B,30-59,
10880,Sonorus,50-59,Female,B,30-59,
20073,Sonorus,50-59,Female,B,60-89,
13713,Locomotor Mortis,30-39,Male,B,120-149,
50512,Locomotor Mortis,40-49,Female,B,0-29,
50555,Locomotor Mortis,60>,Male,B,150-179,
15861,Mobilicorpus,40-49,Female,B,0-29,
12560,Levicorpus,50-59,Male,B,60-89,
19644,Deprimo,50-59,Male,B,30-59,
20464,Deprimo,50-59,Male,B,150-179,
19489,Fidelius Charm,60>,Female,B,30-59,
19687,Defodio,50-59,Female,B,30-59,
23612,Impedimenta,40-49,Male,B,150-179,
25578,Wingardium Leviosa,50-59,Female,B,150-179,
19172,Confringo,40-49,Female,B,180+,
16934,Reducto,50-59,Male,B,180+,
22522,Mobilicorpus,50-59,Female,B,30-59,
13728,Sonorus,40-49,Male,B,90-119,
13354,Sonorus,20-29,Male,B,30-59,
21655,Aparecium,50-59,Female,B,60-89,
14386,Avada Kedavra,60>,Female,B,30-59,
15730,Imperio,40-49,Male,B,120-149,
11160,Locomotor Mortis,50-59,Female,B,90-119,
24791,Confringo,50-59,Female,B,0-29,
27765,Aparecium,50-59,Female,B,30-59,
14046,Duro,30-39,Male,B,30-59,
50405,Locomotor Mortis,40-49,Male,B,180+,
15625,Locomotor Mortis,30-39,Male,B,60-89,
21789,Locomotor Mortis,50-59,Male,B,30-59,
18116,Reducto,60>,Female,B,30-59,
21910,Fidelius Charm,50-59,Female,B,0-29,
14100,Locomotor Mortis,30-39,Male,B,30-59,
25386,Deprimo,50-59,Female,B,30-59,
27859,Impedimenta,30-39,Female,B,0-29,
25834,Meteolojinx Recanto,30-39,Male,B,30-59,
14106,Meteolojinx Recanto,40-49,Male,B,60-89,
20154,Aparecium,50-59,Female,B,180+,
23197,Avada Kedavra,50-59,Female,B,30-59,
10799,Deprimo,50-59,Female,B,60-89,
16842,Sonorus,30-39,Male,B,60-89,
18083,Confringo,60>,Female,B,60-89,
20444,Reducto,50-59,Female,B,60-89,
12269,Sonorus,50-59,Female,B,30-59,
11064,Sonorus,40-49,Female,B,150-179,
13155,Reducto,50-59,Male,B,60-89,
12493,Locomotor Mortis,40-49,Female,B,0-29,
24400,Confringo,50-59,Female,B,90-119,
24474,Confringo,30-39,Female,B,180+,
14714,Duro,40-49,Male,B,150-179,
24529,Duro,40-49,Male,B,30-59,
13237,Mobilicorpus,20-29,Male,B,60-89,
13242,Mobilicorpus,20-29,Male,B,180+,
24313,Mobilicorpus,50-59,Male,B,0-29,
18085,Fidelius Charm,20-29,Female,B,120-149,
26968,Fidelius Charm,30-39,Female,B,120-149,
13295,Confringo,30-39,Male,B,30-59,
14157,Confringo,20-29,Female,B,90-119,
50238,Confringo,30-39,Male,B,90-119,
23759,Locomotor Mortis,40-49,Female,B,180+,
12359,Locomotor Mortis,40-49,Female,B,0-29,
19692,Locomotor Mortis,30-39,Female,B,30-59,
13234,Locomotor Mortis,20-29,Male,B,30-59,
14050,Locomotor Mortis,20-29,Female,B,150-179,
21915,Locomotor Mortis,40-49,Female,B,60-89,
10170,Duro,40-49,NULL,B,60-89,
11036,Mobilicorpus,50-59,Female,B,30-59,
10596,Fidelius Charm,50-59,Male,B,150-179,
21199,Mobilicorpus,30-39,Female,B,180+,
18068,Sonorus,60>,Male,B,60-89,
11287,Confringo,50-59,Female,B,180+,
11657,Confringo,50-59,Female,B,60-89,
14127,Locomotor Mortis,20-29,Male,B,30-59,
21568,Locomotor Mortis,50-59,Male,B,30-59,
20420,Locomotor Mortis,50-59,Male,B,30-59,
11866,Mobilicorpus,40-49,Male,B,60-89,
12803,Deprimo,40-49,NULL,B,60-89,
16173,Fidelius Charm,20-29,Male,B,90-119,
13821,Fidelius Charm,50-59,Male,B,90-119,
13913,Confringo,20-29,Male,B,150-179,
14615,Obscuro,30-39,Female,B,120-149,
14663,Obscuro,30-39,Female,B,30-59,
24637,Mobilicorpus,40-49,Female,B,120-149,
26716,Sonorus,50-59,Male,B,30-59,
18495,Avada Kedavra,50-59,Female,B,90-119,
21907,Imperio,60>,Female,B,120-149,
15900,Diffindo,50-59,Male,B,150-179,
22512,Deprimo,50-59,Male,B,30-59,
11430,Protego Totalum,50-59,Female,B,150-179,
12909,Confringo,50-59,Male,B,180+,
13333,Obscuro,40-49,Female,B,0-29,
22603,Reducto,20-29,Female,B,0-29,
13596,Mobilicorpus,40-49,Female,B,180+,
18483,Mobilicorpus,50-59,Female,B,180+,
12958,Sonorus,30-39,Female,B,30-59,
23610,Sonorus,50-59,Female,B,90-119,
19165,Sonorus,40-49,Female,B,30-59,
19450,Sonorus,50-59,Female,B,0-29,
26430,Quietus,40-49,NULL,B,90-119,
13493,Avada Kedavra,40-49,Female,B,0-29,
22415,Duro,30-39,Male,B,0-29,
16457,Locomotor Mortis,30-39,Female,B,90-119,
14301,Locomotor Mortis,20-29,Male,B,0-29,
20957,Locomotor Mortis,40-49,Male,B,0-29,
24345,Locomotor Mortis,30-39,Male,B,0-29,
18703,Liberacorpus,40-49,Female,B,60-89,Ergonomic Chair
14515,Deprimo,40-49,Female,B,60-89,
16405,Confringo,30-39,Male,B,0-29,
25728,Locomotor Mortis,30-39,Female,B,30-59,
17923,Impedimenta,30-39,Male,B,180+,
20466,Meteolojinx Recanto,50-59,Female,B,0-29,
19901,Defodio,50-59,Female,B,30-59,
19164,Aparecium,50-59,Female,B,180+,
28056,Aparecium,50-59,Female,B,150-179,
19984,Impedimenta,60>,Female,B,30-59,
19437,Deprimo,60>,Female,B,30-59,
24510,Deprimo,50-59,Male,B,30-59,
24259,Impedimenta,40-49,Male,B,60-89,
10425,Confringo,50-59,Female,B,30-59,
50025,Sonorus,40-49,Male,B,120-149,
11380,Levicorpus,50-59,Female,B,180+,
20238,Defodio,50-59,Female,B,0-29,
16887,Sonorus,30-39,Male,B,150-179,
22475,Sonorus,50-59,Male,B,0-29,
12436,Sonorus,30-39,Male,B,0-29,
20779,Geminio,30-39,Female,B,150-179,
16427,Imperio,40-49,Female,B,120-149,
28465,Imperio,50-59,Male,B,90-119,
19700,Mobilicorpus,20-29,Male,B,120-149,
12514,Mobilicorpus,30-39,Male,B,30-59,
14296,Mobilicorpus,20-29,Female,B,180+,
13298,Fidelius Charm,30-39,Male,B,120-149,
19235,Fidelius Charm,60>,Male,B,60-89,
25939,Fidelius Charm,50-59,Male,B,60-89,
26604,Levicorpus,50-59,Female,B,180+,
20459,Protego Totalum,30-39,Male,B,30-59,
12422,Confringo,30-39,Female,B,0-29,
12559,Locomotor Mortis,40-49,Female,B,60-89,
13576,Locomotor Mortis,30-39,Female,B,150-179,
12442,Locomotor Mortis,20-29,Male,B,180+,
14439,Locomotor Mortis,20-29,Male,B,30-59,
18725,Mobilicorpus,60>,Male,B,90-119,
25333,Mobilicorpus,50-59,Male,B,90-119,Near Window
11188,Sonorus,50-59,Male,B,60-89,
28114,Imperio,40-49,Male,B,150-179,
12379,Locomotor Mortis,50-59,Male,B,90-119,
11190,Duro,40-49,Female,B,60-89,
22117,Locomotor Mortis,40-49,Female,B,60-89,
14653,Mobilicorpus,50-59,Male,B,150-179,
26131,Mobilicorpus,50-59,Female,B,0-29,
19401,Mobilicorpus,30-39,Male,B,150-179,
18028,Locomotor Mortis,20-29,Female,B,60-89,
13302,Sonorus,40-49,Male,B,30-59,
20125,Mobilicorpus,50-59,Female,B,0-29,
14202,Mobilicorpus,50-59,Male,B,30-59,
13303,Locomotor Mortis,30-39,Male,B,180+,
